symbol,utc_end_ts,close,high,low,num_trades,total_btc_volume,total_usd_volume,utc_start_ts
BINANCE:BTCUSDT,2024-09-14T07:59:30.000Z,60138.15,60138.15,60138.14,13,0.09272999999999999,5576.6098003,2024-09-14T07:59:00.000Z
BINANCE:BTCUSDT,2024-09-14T07:59:40.000Z,60138.14,60138.15,60138.14,45,0.44425000000000003,26716.369142,2024-09-14T07:59:10.000Z
BINANCE:BTCUSDT,2024-09-14T07:59:50.000Z,60138.15,60138.15,60138.14,77,0.76544,46032.1388947,2024-09-14T07:59:20.000Z
BINANCE:BTCUSDT,2024-09-14T08:00:00.000Z,60138.14,60138.15,60138.14,95,1.02535,61662.64417199999,2024-09-14T07:59:30.000Z
BINANCE:BTCUSDT,2024-09-14T08:00:10.000Z,60138.04,60138.15,60138.04,139,2.6433699999999996,158967.21682770003,2024-09-14T07:59:40.000Z
BINANCE:BTCUSDT,2024-09-14T08:00:20.000Z,60147.96,60147.97,60138.04,355,3.52396,211925.18459739993,2024-09-14T07:59:50.000Z
BINANCE:BTCUSDT,2024-09-14T08:00:30.000Z,60147.97,60147.97,60138.04,374,3.74834,225424.64596919998,2024-09-14T08:00:00.000Z
BINANCE:BTCUSDT,2024-09-14T08:00:40.000Z,60156.0,60156.0,60138.04,502,2.89682,174228.23972519996,2024-09-14T08:00:10.000Z
BINANCE:BTCUSDT,2024-09-14T08:00:50.000Z,60154.01,60156.0,60147.96,354,9.95193,598655.8858244999,2024-09-14T08:00:20.000Z
BINANCE:BTCUSDT,2024-09-14T08:01:00.000Z,60154.01,60156.0,60147.96,347,11.08713,666946.1922197,2024-09-14T08:00:30.000Z
BINANCE:BTCUSDT,2024-09-14T08:01:10.000Z,60150.04,60156.0,60150.04,224,10.210899999999999,614242.3599498003,2024-09-14T08:00:40.000Z
BINANCE:BTCUSDT,2024-09-14T08:01:20.000Z,60150.05,60154.01,60150.04,168,2.1534500000000003,129537.30057139999,2024-09-14T08:00:50.000Z
BINANCE:BTCUSDT,2024-09-14T08:01:30.000Z,60140.01,60154.0,60140.0,383,7.655629999999995,460484.08792769985,2024-09-14T08:01:00.000Z
BINANCE:BTCUSDT,2024-09-14T08:01:40.000Z,60140.01,60150.05,60140.0,347,7.996689999999995,480992.5935754998,2024-09-14T08:01:10.000Z
BINANCE:BTCUSDT,2024-09-14T08:01:50.000Z,60132.8,60150.05,60132.8,496,8.874209999999993,533764.0042248998,2024-09-14T08:01:20.000Z
BINANCE:BTCUSDT,2024-09-14T08:02:00.000Z,60128.01,60140.01,60128.0,412,2.8856599999999983,173531.64766539997,2024-09-14T08:01:30.000Z
BINANCE:BTCUSDT,2024-09-14T08:02:10.000Z,60129.97,60140.01,60120.0,700,4.046879999999997,243336.4679491,2024-09-14T08:01:40.000Z
BINANCE:BTCUSDT,2024-09-14T08:02:20.000Z,60132.8,60132.81,60120.0,611,4.106989999999998,246940.99743290004,2024-09-14T08:01:50.000Z
BINANCE:BTCUSDT,2024-09-14T08:02:30.000Z,60132.8,60132.81,60120.0,475,3.50232,210582.9811923001,2024-09-14T08:02:00.000Z
BINANCE:BTCUSDT,2024-09-14T08:02:40.000Z,60132.8,60132.81,60129.97,176,1.8644299999999998,112110.46314369996,2024-09-14T08:02:10.000Z
BINANCE:BTCUSDT,2024-09-14T08:02:50.000Z,60131.43,60132.81,60131.42,154,1.7446400000000004,104909.98954429998,2024-09-14T08:02:20.000Z
BINANCE:BTCUSDT,2024-09-14T08:03:00.000Z,60122.0,60132.81,60122.0,254,3.986879999999997,239730.07205209995,2024-09-14T08:02:30.000Z
BINANCE:BTCUSDT,2024-09-14T08:03:10.000Z,60118.56,60132.81,60118.56,343,5.810109999999996,349340.5285472999,2024-09-14T08:02:40.000Z
BINANCE:BTCUSDT,2024-09-14T08:03:20.000Z,60118.57,60131.43,60118.56,297,5.116109999999996,307603.86604619987,2024-09-14T08:02:50.000Z
BINANCE:BTCUSDT,2024-09-14T08:03:30.000Z,60118.29,60122.01,60118.29,228,3.376559999999999,202995.70515810006,2024-09-14T08:03:00.000Z
BINANCE:BTCUSDT,2024-09-14T08:03:40.000Z,60118.0,60118.57,60118.0,162,1.62858,97907.58393470001,2024-09-14T08:03:10.000Z
BINANCE:BTCUSDT,2024-09-14T08:03:50.000Z,60114.0,60118.57,60114.0,233,1.82305,109596.8282405,2024-09-14T08:03:20.000Z
BINANCE:BTCUSDT,2024-09-14T08:04:00.000Z,60104.0,60118.3,60104.0,335,1.8584500000000002,111714.0883467,2024-09-14T08:03:30.000Z
BINANCE:BTCUSDT,2024-09-14T08:04:10.000Z,60104.01,60118.0,60104.0,350,2.575420000000001,154804.2854865,2024-09-14T08:03:40.000Z
BINANCE:BTCUSDT,2024-09-14T08:04:20.000Z,60104.01,60114.0,60104.0,303,2.220760000000001,133482.2753162,2024-09-14T08:03:50.000Z
BINANCE:BTCUSDT,2024-09-14T08:04:30.000Z,60098.99,60104.01,60098.98,258,9.214170000000001,553794.2752186,2024-09-14T08:04:00.000Z
BINANCE:BTCUSDT,2024-09-14T08:04:40.000Z,60098.99,60104.01,60098.98,211,8.436,507022.5421620001,2024-09-14T08:04:10.000Z
BINANCE:BTCUSDT,2024-09-14T08:04:50.000Z,60098.0,60104.01,60098.0,211,8.962539999999999,538666.0888061001,2024-09-14T08:04:20.000Z
